"","LFC","padj","DE"
"Cre05.g239700",-2.22095653576761,3.30592927729373e-26,TRUE
"Cre05.g239750",-3.0735936035089,2.32868453905072e-30,TRUE
"Cre05.g239950",2.05633619620668,7.02640098208634e-11,TRUE
"Cre05.g240450",-2.54039652785199,1.05863126202703e-25,TRUE
"Cre05.g241350",-5.11464807514319,1.76572265026715e-104,TRUE
"Cre05.g241400",-3.59107299256636,1.82518636333641e-33,TRUE
"Cre05.g242500",-2.03617018583302,2.15212257646242e-23,TRUE
"Cre05.g242550",-2.06036251741607,3.77354946174e-20,TRUE
"Cre05.g243472",-4.29945032077455,1.08221216959532e-42,TRUE
"Cre05.g244400",2.62960110167416,2.13296750892062e-05,TRUE
"Cre05.g245100",2.07729111961303,1.39874769376697e-21,TRUE
"Cre05.g245600",-3.57066137981968,4.62589688033075e-31,TRUE
"Cre05.g245650",-2.5336167960849,5.5755425906343e-05,TRUE
"Cre05.g245700",-2.0886564507967,3.35569778178973e-24,TRUE
"Cre05.g246376",-2.3015435085136,9.70706461112547e-26,TRUE
"Cre05.g246600",4.49613438205943,1.26162935406636e-05,TRUE
"Cre05.g247200",-3.40690688077822,2.85302996142237e-22,TRUE
"Cre05.g248300",-3.53838557878707,5.15824366211807e-43,TRUE
"Cre05.g248400",3.37254286028878,2.1460685668941e-05,TRUE
"Cre05.g248450",3.43168567020787,2.20132143435895e-05,TRUE
"Cre06.g249400",2.66515933697033,0.000167832941238713,TRUE
"Cre06.g249550",-2.03686587860727,2.45311528588607e-10,TRUE
"Cre06.g250000",2.19146200261394,0.000156990631086708,TRUE
"Cre06.g250600",-2.09575712370297,0.0295587362843954,TRUE
"Cre06.g251550",-5.73383051293418,6.96813204040807e-14,TRUE
"Cre06.g254224",3.08063277545377,1.28248521161548e-06,TRUE
"Cre06.g254550",-7.99382845705654,2.74179547263799e-34,TRUE
"Cre06.g255750",2.24082442312786,3.09299298514072e-06,TRUE
"Cre06.g256150",-2.66732494028683,0.000113601562496604,TRUE
"Cre06.g256550",-2.02690064733095,0.0440730520861615,TRUE
"Cre06.g259500",-2.42759053061843,1.28117679816471e-13,TRUE
"Cre06.g259550",-4.02503418422206,1.3629346348683e-24,TRUE
"Cre06.g259700",2.60344307313025,1.82353593174034e-19,TRUE
"Cre06.g260550",-5.58855140292793,7.43825298604903e-49,TRUE
"Cre06.g260700",-2.82485150818687,1.08991614745158e-12,TRUE
"Cre06.g261600",2.35486642422005,0.00267370516029478,TRUE
"Cre06.g261900",-3.07917032796582,1.35177419387626e-51,TRUE
"Cre06.g263200",-5.83052171440372,8.89883518790848e-15,TRUE
"Cre06.g264100",-5.61260370036865,1.84710900807493e-132,TRUE
"Cre06.g265000",-2.04491918244867,0.0163358979113292,TRUE
"Cre06.g265050",-2.75468451336269,0.0358593303565332,TRUE
"Cre06.g266000",-2.96961768639183,3.97500733012096e-14,TRUE
"Cre06.g268937",2.01345265207348,1.03703075199391e-10,TRUE
"Cre06.g269150",-2.76498811697213,2.42622129638168e-07,TRUE
"Cre06.g269700",5.12290300951598,3.95741272769137e-17,TRUE
"Cre06.g270000",-2.87962735742214,4.380678512727e-34,TRUE
"Cre06.g270400",2.21390458577141,2.80339488617054e-13,TRUE
"Cre06.g270500",-4.93141057782495,4.15975591146071e-27,TRUE
"Cre06.g271500",5.3159114459192,3.38372539812541e-22,TRUE
"Cre06.g273100",-4.22882025236092,3.25424294284108e-32,TRUE
"Cre06.g273400",-2.56998310497306,8.37962383448913e-05,TRUE
"Cre06.g273950",-2.73164787091668,0.0120492727060205,TRUE
"Cre06.g274150",-3.47506165189909,0.000303896524014549,TRUE
"Cre06.g274300",-2.3334233269328,0.0107068259563404,TRUE
"Cre06.g275250",-2.48730137799523,2.39440929287928e-20,TRUE
"Cre06.g275500",2.09532016930255,3.40883286593932e-24,TRUE
"Cre06.g275850",-2.65328122761103,0.0183978952586707,TRUE
"Cre06.g275900",-2.36886050896988,0.00235880042220409,TRUE
"Cre06.g276050",2.48285332997593,2.89863035703646e-25,TRUE
"Cre06.g276350",2.27868633744527,2.30933746779045e-06,TRUE
"Cre06.g276650",-3.0136475773057,0.00566831784780871,TRUE
"Cre06.g276800",-3.875759995164,0.000184802749984276,TRUE
"Cre06.g277960",-2.14636585327297,1.70658179209684e-17,TRUE
"Cre06.g279350",2.83377286847158,2.4798768036016e-28,TRUE
"Cre06.g280600",3.1721912627221,1.13846264038363e-08,TRUE
"Cre06.g280750",2.51993418213241,1.24058367119305e-10,TRUE
"Cre06.g281350",2.6847874159341,1.63046453004703e-34,TRUE
"Cre06.g282050",2.1511626179208,2.25172166700735e-07,TRUE
"Cre06.g282100",2.80943830768474,0.00325891120921607,TRUE
"Cre06.g282800",2.0872089131371,1.42449384467554e-07,TRUE
"Cre06.g283900",3.00306986935118,1.32790632395575e-10,TRUE
"Cre06.g284200",2.48731324553235,2.79155286103133e-09,TRUE
"Cre06.g285550",-4.48495601053608,9.13829338306272e-45,TRUE
"Cre06.g288150",3.03351755286571,5.85251452744488e-05,TRUE
"Cre06.g288850",3.5099094706875,3.04132748910325e-22,TRUE
"Cre06.g288900",-2.19625412856629,2.80949692272071e-20,TRUE
